income,gini
1.0428274,.02
1.0447963,.02
1.0469103,.02
1.0491999,.02
1.0517074,.02
1.0544915,.02
1.05764,.02
1.061291,.02
1.065684,.02
1.0712924,.02
1.0793028,.02
1.0949403,.02
.87075484,.03
.88974971,.03
.8997491,.03
.90686208,.03
.91249925,.03
.917229,.03
.92134047,.03
.92500186,.03
.92832011,.03
.93136775,.03
.93419629,.03
.93684369,.03
.93933886,.03
.94170421,.03
.94395781,.03
.94611406,.03
.94818491,.03
.95018023,.03
.95210838,.03
.95397663,.03
.95579094,.03
.95755661,.03
.95927835,.03
.96096021,.03
.96260583,.03
.96421844,.03
.96580088,.03
.96735579,.03
.96888548,.03
.97039217,.03
.97187775,.03
.97334415,.03
.9747929,.03
.97622561,.03
.97764373,.03
.97904861,.03
.98044151,.03
.98182362,.03
.98319614,.03
.98456001,.03
.98591644,.03
.98726624,.03
.98861051,.03
.98995012,.03
.99128592,.03
.99261892,.03
.99394983,.03
.99527967,.03
.99660915,.03
.99793911,.03
.9992705,.03
1.000604,.03
1.0019406,.03
1.0032811,.03
1.0046264,.03
1.0059773,.03
1.0073347,.03
1.0086997,.03
1.0100731,.03
1.0114561,.03
1.0128496,.03
1.0142546,.03
1.0156723,.03
1.0171041,.03
1.0185512,.03
1.0200149,.03
1.0214965,.03
1.0229979,.03
1.0245206,.03
1.0260664,.03
1.0276372,.03
1.0292352,.03
1.0308629,.03
1.0325226,.03
1.034217,.03
1.0359496,.03
1.0377237,.03
1.039543,.03
1.0414122,.03
1.0433362,.03
1.0453203,.03
1.0473714,.03
1.0494968,.03
1.0517054,.03
1.0540073,.03
1.0564148,.03
1.058943,.03
1.0616096,.03
1.0644372,.03
1.0674535,.03
1.0706954,.03
1.0742104,.03
1.078064,.03
1.0823481,.03
1.0871997,.03
1.0928351,.03
1.0996282,.03
1.1083213,.03
1.1207771,.03
1.1452261,.03
.83095354,.04
.8552143,.04
.8680557,.04
.87721926,.04
.88449866,.04
.89061791,.04
.89594579,.04
.90069717,.04
.90500861,.04
.90897298,.04
.91265619,.04
.91610688,.04
.91936219,.04
.9224509,.04
.92539591,.04
.92821598,.04
.93092632,.04
.93353981,.04
.93606699,.04
.93851715,.04
.94089824,.04
.94321692,.04
.94547933,.04
.94769061,.04
.94985545,.04
.95197815,.04
.95406222,.04
.95611113,.04
.95812792,.04
.96011543,.04
.96207613,.04
.96401238,.04
.96592635,.04
.96782011,.04
.96969545,.04
.97155416,.04
.97339791,.04
.97522825,.04
.97704673,.04
.97885466,.04
.98065341,.04
.98244429,.04
.98422861,.04
.98600757,.04
.98778236,.04
.98955411,.04
.99132395,.04
.99309301,.04
.9948625,.04
.99663347,.04
.99840701,.04
1.0001842,.04
1.0019664,.04
1.0037544,.04
1.0055497,.04
1.0073532,.04
1.0091665,.04
1.0109904,.04
1.0128267,.04
1.0146762,.04
1.0165409,.04
1.0184219,.04
1.0203209,.04
1.0222394,.04
1.0241795,.04
1.0261425,.04
1.0281309,.04
1.0301465,.04
1.0321919,.04
1.0342692,.04
1.0363814,.04
1.0385312,.04
1.0407219,.04
1.0429569,.04
1.0452402,.04
1.047576,.04
1.049969,.04
1.0524247,.04
1.0549489,.04
1.0575488,.04
1.0602317,.04
1.063007,.04
1.0658847,.04
1.068877,.04
1.0719981,.04
1.0752648,.04
1.0786978,.04
1.0823218,.04
1.0861677,.04
1.0902743,.04
1.0946923,.04
1.0994875,.04
1.1047505,.04
1.1106093,.04
1.1172532,.04
1.1249827,.04
1.1343181,.04
