"param","dateRel","key","val","predUpr","predLwr"
"no2",31,"observed",15.26157696,33.50312185,28.93082426
"no2",32,"predic",30.9844338,33.18945823,28.77940937
"no2",32,"observed",15.32794391,33.18945823,28.77940937
"no2",33,"predic",31.41873646,33.44847753,29.38899539
"no2",33,"observed",15.44344702,33.44847753,29.38899539
"no2",34,"predic",31.04488858,33.03223399,29.05754318
"no2",34,"observed",15.28996708,33.03223399,29.05754318
"no2",35,"predic",30.74309876,32.78554321,28.70065432
"no2",35,"observed",15.4842532,32.78554321,28.70065432
"no2",36,"predic",30.92016638,32.98766188,28.85267089
"no2",36,"observed",15.70382451,32.98766188,28.85267089
"no2",37,"predic",30.66414767,32.68160745,28.64668789
"no2",37,"observed",15.47536091,32.68160745,28.64668789
"no2",38,"predic",30.55068267,32.52437988,28.57698546
"no2",38,"observed",15.25786318,32.52437988,28.57698546
"no2",39,"predic",30.63111275,32.54510441,28.71712109
"no2",39,"observed",15.47321755,32.54510441,28.71712109
"no2",40,"predic",31.07362874,32.93824582,29.20901166
"no2",40,"observed",15.50345506,32.93824582,29.20901166
"no2",41,"predic",30.65057469,32.53876925,28.76238013
"no2",41,"observed",15.48290161,32.53876925,28.76238013
"no2",42,"predic",30.43230368,32.37037684,28.49423053
"no2",42,"observed",15.48621975,32.37037684,28.49423053
"no2",43,"predic",30.35170132,32.28428359,28.41911904
"no2",43,"observed",16.01625236,32.28428359,28.41911904
"no2",44,"predic",30.6971423,32.60542126,28.78886334
"no2",44,"observed",16.51314976,32.60542126,28.78886334
"no2",45,"predic",30.75101958,32.64739431,28.85464486
"no2",45,"observed",16.87721955,32.64739431,28.85464486
"no2",46,"predic",30.99976715,32.9605424,29.03899189
"no2",46,"observed",16.74575936,32.9605424,29.03899189
"no2",47,"predic",30.96322854,32.8738232,29.05263389
"no2",47,"observed",16.51988415,32.8738232,29.05263389
"no2",48,"predic",31.01308533,32.93648148,29.08968919
"no2",48,"observed",16.67136693,32.93648148,29.08968919
"no2",49,"predic",30.35229595,32.37186585,28.33272605
"no2",49,"observed",16.57575544,32.37186585,28.33272605
"no2",50,"predic",31.7029811,33.83177227,29.57418994
"no2",50,"observed",16.86997192,33.83177227,29.57418994
"no2",51,"predic",31.69883482,33.74213733,29.6555323
"no2",51,"observed",16.85377037,33.74213733,29.6555323
"no2",52,"predic",31.65598079,33.76159892,29.55036267
"no2",52,"observed",17.22917358,33.76159892,29.55036267
"no2",53,"predic",31.82659928,33.89659321,29.75660536
"no2",53,"observed",17.15980228,33.89659321,29.75660536
"no2",54,"predic",32.96103307,35.02083279,30.90123335
"no2",54,"observed",17.92973001,35.02083279,30.90123335
"no2",55,"predic",32.56236876,34.63076873,30.4939688
"no2",55,"observed",18.46425575,34.63076873,30.4939688
"no2",56,"predic",33.12005306,35.25600607,30.98410004
"no2",56,"observed",19.05958297,35.25600607,30.98410004
"no2",57,"predic",30.23238289,31.8862348,28.57853099
"no2",57,"observed",24.08144713,31.8862348,28.57853099
"no2",58,"predic",35.57034933,37.94363473,33.19706393
"no2",58,"observed",21.25238574,37.94363473,33.19706393
"no2",59,"predic",31.71611901,34.00436585,29.42787217
"no2",59,"observed",18.79669152,34.00436585,29.42787217
"no2",60,"predic",31.77503575,34.09560419,29.45446732
"no2",60,"observed",18.28481768,34.09560419,29.45446732
"no2",61,"predic",35.0754469,37.67759627,32.47329753
"no2",61,"observed",20.07988625,37.67759627,32.47329753
"no2",62,"predic",34.06027477,36.80586539,31.31468414
"no2",62,"observed",19.76473787,36.80586539,31.31468414
"no2",63,"predic",34.18521541,36.95548796,31.41494286
"no2",63,"observed",18.97189641,36.95548796,31.41494286
"no2",64,"predic",34.14358365,36.96432971,31.32283758
"no2",64,"observed",18.43359956,36.96432971,31.32283758
"no2",65,"predic",33.33595707,36.21172469,30.46018945
"no2",65,"observed",17.45251318,36.21172469,30.46018945
"no2",66,"predic",33.29677085,36.11735293,30.47618877
"no2",66,"observed",16.92434917,36.11735293,30.47618877
"no2",67,"predic",33.60620325,36.36576181,30.8466447
"no2",67,"observed",16.92824603,36.36576181,30.8466447
"no2",68,"predic",34.18585314,36.97542677,31.39627951
"no2",68,"observed",17.22652705,36.97542677,31.39627951
"no2",69,"predic",34.84223445,37.5793779,32.10509101
"no2",69,"observed",18.25472192,37.5793779,32.10509101
"no2",70,"predic",35.12003984,37.78763038,32.45244929
"no2",70,"observed",18.83166745,37.78763038,32.45244929
"no2",71,"predic",35.51355801,38.08540903,32.94170698
"no2",71,"observed",19.17477081,38.08540903,32.94170698
"no2",72,"predic",35.44760747,37.98150343,32.91371151
"no2",72,"observed",18.86582721,37.98150343,32.91371151
"no2",73,"predic",35.07043526,37.5489588,32.59191172
"no2",73,"observed",18.82155974,37.5489588,32.59191172
"no2",74,"predic",35.60441426,38.05185635,33.15697217
"no2",74,"observed",18.92508149,38.05185635,33.15697217
"no2",75,"predic",36.26009112,38.83296557,33.68721667
"no2",75,"observed",21.23319846,38.83296557,33.68721667
"no2",76,"predic",36.11605436,38.69477457,33.53733415
"no2",76,"observed",22.19457153,38.69477457,33.53733415
"no2",77,"predic",35.81877938,38.0121388,33.62541996
"no2",77,"observed",33.55480097,38.0121388,33.62541996
"no2",78,"predic",34.54419455,36.79246235,32.29592674
"no2",78,"observed",33.42301176,36.79246235,32.29592674
"no2",79,"predic",32.81813563,35.21386343,30.42240784
"no2",79,"observed",31.94643915,35.21386343,30.42240784
"no2",80,"predic",31.77258531,34.16097225,29.38419837
"no2",80,"observed",30.10239138,34.16097225,29.38419837
"no2",81,"predic",32.31671472,34.80113665,29.8322928
"no2",81,"observed",29.98530572,34.80113665,29.8322928
"no2",82,"predic",34.0296846,36.46934955,31.59001965
"no2",82,"observed",31.63726228,36.46934955,31.59001965
"no2",83,"predic",35.7979651,38.1848169,33.4111133
"no2",83,"observed",33.57105467,38.1848169,33.4111133
"no2",84,"predic",37.04806952,39.31729723,34.77884181
"no2",84,"observed",35.45156186,39.31729723,34.77884181
"no2",85,"predic",36.75429005,39.0084388,34.5001413
