"iso","country","variable","water_stress","source","country_code"
"DOM","Dominican Republic","SDG 6.4.2. Water Stress (%)",39.5533141,"FAO Aquastat","DOM"
"ECU","Ecuador","SDG 6.4.2. Water Stress (%)",6.78235294,"FAO Aquastat","ECU"
"EGY","Egypt","SDG 6.4.2. Water Stress (%)",141.165756,"FAO Aquastat","EGY"
"SLV","El Salvador","SDG 6.4.2. Water Stress (%)",2.42732377,"FAO Aquastat","SLV"
"GNQ","Equatorial Guinea","SDG 6.4.2. Water Stress (%)",0.18350324,"FAO Aquastat","GNQ"
"ERI","Eritrea","SDG 6.4.2. Water Stress (%)",11.1751152,"FAO Aquastat","ERI"
"EST","Estonia","SDG 6.4.2. Water Stress (%)",9.2310855,"FAO Aquastat","EST"
"SWZ","Eswatini","SDG 6.4.2. Water Stress (%)",77.5599129,"FAO Aquastat","SWZ"
"ETH","Ethiopia","SDG 6.4.2. Water Stress (%)",32.2571865,"FAO Aquastat","ETH"
"FJI","Fiji","SDG 6.4.2. Water Stress (%)",0.29737303,"FAO Aquastat","FJI"
"FIN","Finland","SDG 6.4.2. Water Stress (%)",7.11406213,"FAO Aquastat","FIN"
"FRA","France","SDG 6.4.2. Water Stress (%)",22.9992818,"FAO Aquastat","FRA"
"GAB","Gabon","SDG 6.4.2. Water Stress (%)",0.50216607,"FAO Aquastat","GAB"
"GMB","Gambia","SDG 6.4.2. Water Stress (%)",2.20965637,"FAO Aquastat","GMB"
"GEO","Georgia","SDG 6.4.2. Water Stress (%)",5.3867101,"FAO Aquastat","GEO"
"DEU","Germany","SDG 6.4.2. Water Stress (%)",33.5019189,"FAO Aquastat","DEU"
"GHA","Ghana","SDG 6.4.2. Water Stress (%)",6.31473409,"FAO Aquastat","GHA"
"GRC","Greece","SDG 6.4.2. Water Stress (%)",20.4774428,"FAO Aquastat","GRC"
"GRD","Grenada","SDG 6.4.2. Water Stress (%)",7.05,"FAO Aquastat","GRD"
"GTM","Guatemala","SDG 6.4.2. Water Stress (%)",5.74209708,"FAO Aquastat","GTM"
"GIN","Guinea","SDG 6.4.2. Water Stress (%)",1.36923077,"FAO Aquastat","GIN"
"GNB","Guinea-Bissau","SDG 6.4.2. Water Stress (%)",1.4957265,"FAO Aquastat","GNB"
"GUY","Guyana","SDG 6.4.2. Water Stress (%)",3.29840183,"FAO Aquastat","GUY"
"HTI","Haiti","SDG 6.4.2. Water Stress (%)",13.3837918,"FAO Aquastat","HTI"
"HND","Honduras","SDG 6.4.2. Water Stress (%)",4.62126876,"FAO Aquastat","HND"
"HUN","Hungary","SDG 6.4.2. Water Stress (%)",8.0701209,"FAO Aquastat","HUN"
"ISL","Iceland","SDG 6.4.2. Water Stress (%)",0.39407528,"FAO Aquastat","ISL"
"IND","India","SDG 6.4.2. Water Stress (%)",66.4920928,"FAO Aquastat","IND"
"IDN","Indonesia","SDG 6.4.2. Water Stress (%)",29.6965453,"FAO Aquastat","IDN"
"IRN","Iran (Islamic Republic of)","SDG 6.4.2. Water Stress (%)",81.2890813,"FAO Aquastat","NOT_FOUND"
"IRQ","Iraq","SDG 6.4.2. Water Stress (%)",79.5140449,"FAO Aquastat","IRQ"
"IRL","Ireland","SDG 6.4.2. Water Stress (%)",21.6404494,"FAO Aquastat","IRL"
"ISR","Israel","SDG 6.4.2. Water Stress (%)",110.085411,"FAO Aquastat","ISR"
"ITA","Italy","SDG 6.4.2. Water Stress (%)",29.6457838,"FAO Aquastat","ITA"
"JAM","Jamaica","SDG 6.4.2. Water Stress (%)",12.4734362,"FAO Aquastat","JAM"
"JPN","Japan","SDG 6.4.2. Water Stress (%)",36.045977,"FAO Aquastat","JPN"
"JOR","Jordan","SDG 6.4.2. Water Stress (%)",104.31277,"FAO Aquastat","JOR"
"KAZ","Kazakhstan","SDG 6.4.2. Water Stress (%)",34.0984743,"FAO Aquastat","KAZ"
"KEN","Kenya","SDG 6.4.2. Water Stress (%)",33.2399011,"FAO Aquastat","KEN"
"KWT","Kuwait","SDG 6.4.2. Water Stress (%)",3850.5,"FAO Aquastat","KWT"
"KGZ","Kyrgyzstan","SDG 6.4.2. Water Stress (%)",50.038956,"FAO Aquastat","KGZ"
"LAO","Lao People's Democratic Republic","SDG 6.4.2. Water Stress (%)",4.79139505,"FAO Aquastat","LAO"
"LVA","Latvia","SDG 6.4.2. Water Stress (%)",1.06783147,"FAO Aquastat","LVA"
"LBN","Lebanon","SDG 6.4.2. Water Stress (%)",58.7929916,"FAO Aquastat","LBN"
"LSO","Lesotho","SDG 6.4.2. Water Stress (%)",2.5659051,"FAO Aquastat","LSO"
