"iso","country","variable","value","source"
"BIH","Bosnia and Herzegovina","SDG 6.4.2. Water Stress (%)",2.00053121,"FAO Aquastat"
"NOR","Norway","SDG 6.4.2. Water Stress (%)",2.04646388,"FAO Aquastat"
"GMB","Gambia","SDG 6.4.2. Water Stress (%)",2.20965637,"FAO Aquastat"
"NIC","Nicaragua","SDG 6.4.2. Water Stress (%)",2.22090021,"FAO Aquastat"
"BWA","Botswana","SDG 6.4.2. Water Stress (%)",2.30500471,"FAO Aquastat"
"SVK","Slovakia","SDG 6.4.2. Water Stress (%)",2.38812392,"FAO Aquastat"
"SLV","El Salvador","SDG 6.4.2. Water Stress (%)",2.42732377,"FAO Aquastat"
"LSO","Lesotho","SDG 6.4.2. Water Stress (%)",2.5659051,"FAO Aquastat"
"ZMB","Zambia","SDG 6.4.2. Water Stress (%)",2.83549784,"FAO Aquastat"
"GUY","Guyana","SDG 6.4.2. Water Stress (%)",3.29840183,"FAO Aquastat"
"TGO","Togo","SDG 6.4.2. Water Stress (%)",3.39163498,"FAO Aquastat"
"MNG","Mongolia","SDG 6.4.2. Water Stress (%)",3.39500734,"FAO Aquastat"
"MYS","Malaysia","SDG 6.4.2. Water Stress (%)",3.43948718,"FAO Aquastat"
"BRN","Brunei Darussalam","SDG 6.4.2. Water Stress (%)",3.46646571,"FAO Aquastat"
"AUS","Australia","SDG 6.4.2. Water Stress (%)",3.47406514,"FAO Aquastat"
"SWE","Sweden","SDG 6.4.2. Water Stress (%)",3.58297258,"FAO Aquastat"
"CAN","Canada","SDG 6.4.2. Water Stress (%)",3.73357364,"FAO Aquastat"
"SUR","Suriname","SDG 6.4.2. Water Stress (%)",3.95060937,"FAO Aquastat"
"LUX","Luxembourg","SDG 6.4.2. Water Stress (%)",3.96351575,"FAO Aquastat"
"RUS","Russian Federation","SDG 6.4.2. Water Stress (%)",4.12224275,"FAO Aquastat"
"SSD","South Sudan","SDG 6.4.2. Water Stress (%)",4.22607579,"FAO Aquastat"
"TCD","Chad","SDG 6.4.2. Water Stress (%)",4.29492188,"FAO Aquastat"
