"iso3c","year","percap_waste"
"JOR",2020,299
"JOR",2030,367
"JOR",2040,455
"JOR",2050,549
"VCT",2020,299
"VCT",2030,344
"VCT",2040,393
"VCT",2050,450
"CHN",2020,294
"CHN",2030,388
"CHN",2040,454
"CHN",2050,505
"SLV",2020,290
"SLV",2030,325
"SLV",2040,371
"SLV",2050,430
"PRY",2020,288
"PRY",2030,352
"PRY",2040,433
"PRY",2050,523
"COL",2020,288
"COL",2030,324
"COL",2040,370
"COL",2050,421
"PER",2020,287
"PER",2030,348
"PER",2040,406
"PER",2050,465
"ROU",2020,284
"ROU",2030,336
"ROU",2040,373
"ROU",2050,400
"NIC",2020,283
"NIC",2030,335
"NIC",2040,413
"NIC",2050,516
"GUY",2020,281
"GUY",2030,335
"GUY",2040,391
"GUY",2050,467
"BLZ",2020,279
"BLZ",2030,308
"BLZ",2040,347
"BLZ",2050,397
"BDI",2020,276
"BDI",2030,289
"BDI",2040,312
"BDI",2050,351
"CPV",2020,274
"CPV",2030,319
"CPV",2040,371
"CPV",2050,432
"IDN",2020,271
"IDN",2030,351
"IDN",2040,434
"IDN",2050,514
"CUB",2020,267
"CUB",2030,311
"CUB",2040,357
"CUB",2050,406
"VUT",2020,263
"VUT",2030,286
"VUT",2040,321
"VUT",2050,372
"EGY",2020,258
"EGY",2030,320
"EGY",2040,392
"EGY",2050,465
"TUN",2020,249
"TUN",2030,310
"TUN",2040,377
"TUN",2050,436
"CAF",2020,248
"CAF",2030,260
"CAF",2040,277
"CAF",2050,308
"FJI",2020,247
"FJI",2030,284
"FJI",2040,337
"FJI",2050,403
"SSD",2020,245
"SSD",2030,268
"SSD",2040,306
"SSD",2050,367
"CIV",2020,245
"CIV",2030,325
"CIV",2040,437
"CIV",2050,571
"HND",2020,244
"HND",2030,276
"HND",2040,323
"HND",2050,388
"GEO",2020,242
"GEO",2030,302
"GEO",2040,364
"GEO",2050,424
"TJK",2020,234
"TJK",2030,271
"TJK",2040,324
"TJK",2050,392
"SYR",2020,220
"SYR",2030,272
"SYR",2040,336
"SYR",2050,407
"BOL",2020,218
"BOL",2030,262
"BOL",2040,317
"BOL",2050,385
"BTN",2020,216
"BTN",2030,292
"BTN",2040,365
"BTN",2050,430
"NER",2020,215
"NER",2030,225
"NER",2040,240
"NER",2050,268
"HTI",2020,214
"HTI",2030,247
"HTI",2040,301
"HTI",2050,382
"MAR",2020,210
"MAR",2030,258
"MAR",2040,320
"MAR",2050,390
"IRN",2020,206
"IRN",2030,235
"IRN",2040,268
"IRN",2050,300
"UGA",2020,206
"UGA",2030,225
