"SUM of val","","sex_name"
"iso3c",,"f"
"ALB",,0.6653424537
"ALB",,0.7395677924
"ALB",,0.9656541041
"ALB",,3.762156466
"ALB",,0.2395043737
"ALB",,1.425384158
"ALB",,3.302086372
"ALB",,0.003301881238
"ALB",,0.01148236588
"ALB",,16.32924812
"ALB",,1.496315148
"ALB",,3.355450165
"ALB",,2.014521431
"ALB",,1.033516422
"ALB",,1.406626473
"ALB",,2.404960115
"ALB",,1.174951123
"ALB",,0.1043922419
"ALB",,1.07857284
"ALB",,0.9294413326
"ALB",,25.94757638
"ALB",,6.817379924
"ALB",,6.498697602
"ALB",,0.1935558189
"ALB",,0
"ALB",,0.06712441038
"ALB",,0
"ALB",,0
"ALB",,0.0003825802143
"ALB",,0.08211443404
"ALB",,0.1727728089
"ALB",,0.3558771948
"ALB",,14.87905626
"ALB",,7.855618448
"AND",,0.006982193008
"AND",,0.4794486673
"AND",,0.003517843461
"AND",,0.0001835786978
"AND",,0.1599561479
"AND",,0.000648697666
"AND",,0.00000845
"AND",,0.007068036404
"AND",,0.04181720877
"AND",,0.0000566
"AND",,0.0001767609003
"AND",,0.0028710419
"AND",,0
"AND",,0.000407455723
"AND",,0
"AND",,0
"AND",,0
"AND",,0
"AND",,0
"AND",,0
"AND",,0.0001799433791
"AND",,0
"AND",,0
"AND",,0.00000762
"AND",,0
"AND",,0.0004332757571
"AND",,0.01171164884
"AND",,0.00184811352
"AND",,0.001088118904
"AND",,0.006601055399
"AND",,0.05998075154
"AND",,0.03840919745
"AND",,0.01581023372
"AND",,0.3002419881
"AND",,0.2178119062
"AND",,0.004712222113
"AND",,0.786549917
"AND",,1.655074153
"AND",,0.5413923605
"AND",,0.08438949427
"AND",,
"AND",,0.3718022765
"AND",,0.03337652933
"AND",,0.008862524369
"AND",,0.01209494708
"AND",,0.04884897207
"AND",,0.1962145638
"AND",,0.1726812435
"AND",,0.01090267137
"AND",,0.2967983067
"AND",,
"AND",,0.06376950102
"AND",,0.0169326831
"AND",,0.6319170226
"AND",,0.01733361092
"AND",,0.01340327583
"AND",,0.03264570259
"AND",,0.1369122652
"AND",,0.07423425781
"AND",,0.2158450538
"AND",,0.01314439842
"AND",,0.03989571184
"AND",,0.3804322939
"AND",,0.3478667419
"AND",,0.06160594546
"AND",,0.111833765
"AND",,0.009008946309
"AND",,0.05857753965
"AND",,0.00513011115
"AND",,0.02270205241
"AND",,0.02529306741
"AND",,0.103508725
"AND",,0.0002110455445
"AND",,0.05725664394
"AND",,0.04894529974
"AND",,0.02493859503
"AND",,0.5683093192
"AND",,0.002836323316
"AND",,0.01600502267
"AND",,0.00411821296
"AND",,0.02336230495
"AND",,0.02341826175
"AND",,0.01213207297
"AND",,0.03553767282
"AND",,0.02765644648
"AND",,0.03250059493
"AND",,0.00686464168
"AND",,0.1302372992
"AND",,0.1287691324
"AND",,0.05467924161
"AND",,0.1179591392
"AND",,0.02401585128
"AND",,0.02276792109
"AND",,0.01089622647
"AND",,0.05872456791
"AND",,0.0001418723616
"AND",,0.1234352712
"AND",,0.06209392517
"AND",,0.007026376881
"AND",,0.02225145625
"AND",,0.0859097288
"AND",,0.003614122356
"AND",,0.02594991382
"AND",,0.1183953192
"AND",,0.0005048895924
"AND",,0.001187748078
"AND",,0.8641044473
"AND",,0.04878489488
"AND",,0.2916791744
"AND",,0.0210917916
"AND",,0.01763688967
"AND",,0.01906077053
"AND",,0.00893608084
"AND",,0.01435192507
"AND",,0.00308692307
"AND",,0.02464637841
"AND",,0.005020942214
"AND",,1.041272953
"AND",,0.062166884
"AND",,0
"AND",,0.002948334196
"AND",,0
"AND",,0.002870980209
"AND",,0
"AND",,0
"AND",,0.0000134
"AND",,0.001918235717
"AND",,0.003378690384
"AND",,0.006845629207
"AND",,0.3442830895
"AND",,0.1045911958
"ARE",,8.613235492
"ARE",,15.86900996
"ARE",,7.650719135
"ARE",,0.03381015252
"ARE",,35.51009284
"ARE",,0.006865522074
"ARE",,0.0004385852486
"ARE",,5.704225281
"ARE",,2.678122708
"ARE",,0.01482371828
"ARE",,0.1985069974
"ARE",,2.93863298
"ARE",,0.00932581088
"ARE",,0.3539267036
"ARE",,0
"ARE",,0
"ARE",,0
"ARE",,0
"ARE",,0
"ARE",,0
"ARE",,0.02964286371
"ARE",,0
"ARE",,0
"ARE",,0.02456626114
"ARE",,0.009533099185
"ARE",,0.2799997165
"ARE",,11.62279126
"ARE",,0.1796213439
"ARE",,0.06175341195
"ARE",,0.2984084809
"ARE",,2.309664706
"ARE",,5.602885107
"ARE",,12.38888716
"ARE",,24.03880785
"ARE",,8.810670511
"ARE",,4.044679277
"ARE",,23.96106174
"ARE",,212.1304106
"ARE",,31.46558706
"ARE",,6.035748318
"ARE",,
"ARE",,48.51987865
"ARE",,4.60597488
"ARE",,1.702644982
"ARE",,1.716312451
"ARE",,4.992744922
"ARE",,36.78540497
"ARE",,3.09211981
"ARE",,0.804798414
"ARE",,40.34606935
"ARE",,
"ARE",,7.502259624
"ARE",,3.933062786
"ARE",,36.2104023
"ARE",,3.28701647
"ARE",,0.7566671517
"ARE",,4.611749325
"ARE",,28.8725724
"ARE",,3.941195513
"ARE",,39.3150022
"ARE",,0.8998065128
"ARE",,6.615210049
"ARE",,95.38690788
"ARE",,228.7899053
"ARE",,39.32773271
"ARE",,6.265768887
"ARE",,1.380397778
"ARE",,2.274992247
"ARE",,0.05869869918
"ARE",,2.941986555
"ARE",,10.32532856
"ARE",,38.13984322
"ARE",,0.2045907989
"ARE",,43.4094309
"ARE",,5.601992677
"ARE",,2.492593081
"ARE",,24.79627205
"ARE",,1.741430837
"ARE",,2.023325914
"ARE",,0.05244330916
"ARE",,0.9627187162
"ARE",,0.8765439472
"ARE",,2.12314135
"ARE",,2.48303805
"ARE",,2.195973402
"ARE",,2.177882026
"ARE",,2.18746813
"ARE",,19.87385849
"ARE",,7.756495365
"ARE",,1.114772348
"ARE",,7.24358353
"ARE",,2.327852434
"ARE",,37.01027036
"ARE",,0.0702848123
"ARE",,36.2788475
"ARE",,0.1981720324
"ARE",,125.6805898
"ARE",,3.564501941
"ARE",,0.074141799
"ARE",,7.304581261
"ARE",,24.42624642
"ARE",,0.3725060463
"ARE",,24.99068351
"ARE",,20.19395612
"ARE",,0.07470874773
"ARE",,0.02923937165
"ARE",,294.613698
"ARE",,4.065766776
"ARE",,18.78790261
"ARE",,6.724331214
"ARE",,25.32249185
"ARE",,1.130490671
"ARE",,9.989542707
