"Iso3_code","Country","Region","Subregion","Indicator","Dimension","Category","Sex","Age","Year","unit","VALUE","Source","region_iso3c","region"
"ISL","Iceland","Europe","Northern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.465201465,"Eurostat/UNSDC/CTS/SDG","ECS","Europe & Central Asia"
"ITA","Italy","Europe","Southern Europe","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.4713717885,"UNSDC/CTS","ECS","Europe & Central Asia"
"JAM","Jamaica","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",44.94858604,"UNSDC/NP/OAS/CTS","LCN","Latin America & Caribbean"
"JOR","Jordan","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.19571034,"UNSDC/CTS/SDG/MNS/External","MEA","Middle East & North Africa"
"JPN","Japan","Asia","Eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.2514301911,"GSH Revision/SDG/CTS/MoI","EAS","East Asia & Pacific"
"KAZ","Kazakhstan","Asia","Central Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",3.227402973,"UNSDC/TransMonEE/CTS","ECS","Europe & Central Asia"
"KEN","Kenya","Africa","Sub-Saharan Africa","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",3.457234621,"CTS","SSF","Sub-Saharan Africa"
"KGZ","Kyrgyzstan","Asia","Central Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.747343081,"TransMonEE/UNSDC/UNECE/NSO/CTS","ECS","Europe & Central Asia"
"KNA","Saint Kitts and Nevis","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",18.79981952,"NP/OAS/CTS","LCN","Latin America & Caribbean"
"KOR","Republic of Korea","Asia","Eastern Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",0.6007507473,"UNSDC Adjusted/NP Adjusted/SDG Adjusted/GSH Revision/CTS","EAS","East Asia & Pacific"
"LBN","Lebanon","Asia","Western Asia","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",1.875336425,"CTS/SDG","MEA","Middle East & North Africa"
"LCA","Saint Lucia","Americas","Latin America and the Caribbean","Victims of intentional homicide","Total","Total","Total","Total",2020,"Rate per 100,000 population",28.31796721,"MD/OAS/GSH Revision/CTS","LCN","Latin America & Caribbean"
