"iso3c","year","povertyrate","gdppc","ghgpc","note"
"NER",2019,50.07099915,1224.3751,0.14,
"NER",2022,50,1226.1711,0.1451640874,
"NGA",2019,30.93486214,5135.4995,0.93,
"NGA",2022,31.5,5000.2686,0.8549341559,
"NIC",2019,3.902331114,5445.7295,0.82,
"NIC",2022,0.1,5932.1699,0.8198022842,
"NLD",2019,0.09572870284,56784.039,8.54,
"NLD",2022,0,58936.035,8.533205032,
"NOR",2019,0.1565339565,64385.008,6.85,
"NOR",2022,0.1,67679.305,6.774114132,
"NPL",2019,2.834811687,3952.7603,0.48,
"NPL",2022,2.8,3971.7952,0.5295984745,
"NRU",2019,0.4786150157,13525.772,5.96,
"NRU",2022,0.4,13604.387,6.518509865,
"PAK",2019,5.293699741,5317.7744,0.93,
"PAK",2022,4.1,5558.6196,0.9848672152,
"PAN",2019,1.004099488,31440.264,3.02,
"PAN",2022,0.1,30597.164,2.582925558,
"PER",2019,2.97806406,12858.326,1.75,
"PER",2022,0.6,12861.685,1.723559976,
"PHL",2019,4.116933346,8914.7236,1.29,
"PHL",2022,8,8723.3291,1.335294127,
"PNG",2019,28.41158867,4292.6094,1.46,
"PNG",2022,29.3,4114.8149,1.8206563,
"POL",2019,0,33185.156,7.77,
"POL",2022,0,35855.316,7.885736465,
"PRT",2019,0.1487206221,34945.66,4.22,
"PRT",2022,0,35678.227,4.654034138,
"PRY",2019,1.01151073,12615.528,1.21,
"PRY",2022,0,12574.883,1.36169982,
"PSE",2022,0.9,5733.9766,1.166319132,
"ROU",2019,2.164076567,29875.063,3.84,
"ROU",2022,0.2,32338.219,3.647917747,
"RUS",2019,0.03000163659,27254.574,15.3,
"RUS",2022,0,27035.99,14.28027916,
"RWA",2019,44.24836349,2227.5156,0.09,
"RWA",2022,41.3,2352.1843,0.09657457471,
"SDN",2019,21.25585556,4173.5664,0.56,
"SDN",2022,25.7,3730.2388,0.503958106,
"SEN",2019,9.015172005,3368.2622,0.55,
"SEN",2022,7.6,3496.8193,0.5869481564,
"SLB",2019,24.84011269,2660.5149,0.53,
"SLB",2022,29.7,2260.2576,0.4227898717,
"SLE",2019,24.42751884,1705.1914,0.12,
"SLE",2022,24.8,1658.9365,0.124181278,
"SLV",2019,1.401915193,8776.1191,1.18,
"SLV",2022,0,8988.4854,1.084692836,
"SOM",2019,65.25950623,1186.4509,0.04,
"SOM",2022,65.6,1175.694,0.03315847367,
"SRB",2019,0.04523183405,18306.785,6.93,
"SRB",2022,0,20536.99,7.455934525,
"SSD",2019,71.86244965,825.56097,0.53,
