"year","variable","value"
1889,"sim.human.top",0.169881825
1889,"sim.natural.mean",-0.019355795
1889,"sim.natural.bottom",-0.225834941
1889,"sim.natural.top",0.227748719
1889,"observed",0.111
1890,"sim.human.mean",-0.013621063
1890,"sim.human.bottom",-0.179602918
1890,"sim.human.top",0.108381485
1890,"sim.natural.mean",-0.0242845
1890,"sim.natural.bottom",-0.211166255
1890,"sim.natural.top",0.157420655
1890,"observed",-0.146
1891,"sim.human.mean",-0.046247035
1891,"sim.human.bottom",-0.286282709
1891,"sim.human.top",0.158103858
1891,"sim.natural.mean",-0.078832467
1891,"sim.natural.bottom",-0.31563405
1891,"sim.natural.top",0.15505287
1891,"observed",-0.039
1892,"sim.human.mean",-0.050320536
1892,"sim.human.bottom",-0.328827032
1892,"sim.human.top",0.175875625
1892,"sim.natural.mean",-0.042948301
1892,"sim.natural.bottom",-0.227582307
1892,"sim.natural.top",0.134944697
1892,"observed",-0.121
1893,"sim.human.mean",0.00822736
1893,"sim.human.bottom",-0.182182477
1893,"sim.human.top",0.316621613
1893,"sim.natural.mean",-0.006245463
1893,"sim.natural.bottom",-0.19500346
1893,"sim.natural.top",0.254488813
1893,"observed",-0.119
1894,"sim.human.mean",0.065360494
1894,"sim.human.bottom",-0.146253133
1894,"sim.human.top",0.235103216
1894,"sim.natural.mean",-0.001888639
1894,"sim.natural.bottom",-0.17766874
1894,"sim.natural.top",0.214078403
1894,"observed",-0.101
1895,"sim.human.mean",0.04615461
1895,"sim.human.bottom",-0.114923672
1895,"sim.human.top",0.235715036
1895,"sim.natural.mean",-0.002944996
1895,"sim.natural.bottom",-0.162586831
1895,"sim.natural.top",0.238826304
1895,"observed",-0.059
1896,"sim.human.mean",0.041482378
1896,"sim.human.bottom",-0.14356202
1896,"sim.human.top",0.235844163
1896,"sim.natural.mean",0.01550346
1896,"sim.natural.bottom",-0.183035327
1896,"sim.natural.top",0.218337331
1896,"observed",0.089
1897,"sim.human.mean",0.042848171
1897,"sim.human.bottom",-0.122227439
1897,"sim.human.top",0.21097628
1897,"sim.natural.mean",0.00895463
1897,"sim.natural.bottom",-0.196539142
1897,"sim.natural.top",0.246564111
1897,"observed",0.089
1898,"sim.human.mean",0.040242264
1898,"sim.human.bottom",-0.147476549
1898,"sim.human.top",0.20265678
1898,"sim.natural.mean",0.027001869
1898,"sim.natural.bottom",-0.180557468
1898,"sim.natural.top",0.210395133
1898,"observed",-0.114
1899,"sim.human.mean",0.045198511
1899,"sim.human.bottom",-0.136818406
1899,"sim.human.top",0.251719933
1899,"sim.natural.mean",0.040355976
1899,"sim.natural.bottom",-0.142064112
1899,"sim.natural.top",0.265813382
1899,"observed",0.016
1900,"sim.human.mean",0.069478567
1900,"sim.human.bottom",-0.116240078
1900,"sim.human.top",0.221333484
1900,"sim.natural.mean",0.046332623
1900,"sim.natural.bottom",-0.120766438
1900,"sim.natural.top",0.269572163
1900,"observed",0.116
1901,"sim.human.mean",0.056842638
1901,"sim.human.bottom",-0.112324045
1901,"sim.human.top",0.246454356
1901,"sim.natural.mean",0.025799504
1901,"sim.natural.bottom",-0.176717843
1901,"sim.natural.top",0.23127261
1901,"observed",0.064
1902,"sim.human.mean",-0.001499511
1902,"sim.human.bottom",-0.241275875
1902,"sim.human.top",0.188820996
1902,"sim.natural.mean",0.042265013
1902,"sim.natural.bottom",-0.143574239
1902,"sim.natural.top",0.206997701
1902,"observed",-0.079
1903,"sim.human.mean",-0.139125717
1903,"sim.human.bottom",-0.313708762
1903,"sim.human.top",0.071136673
1903,"sim.natural.mean",-0.101282421
1903,"sim.natural.bottom",-0.38484317
1903,"sim.natural.top",0.193082323
1903,"observed",-0.169
1904,"sim.human.mean",-0.077146145
1904,"sim.human.bottom",-0.27682004
1904,"sim.human.top",0.158080458
1904,"sim.natural.mean",-0.0391319
1904,"sim.natural.bottom",-0.268991835
1904,"sim.natural.top",0.181198434
1904,"observed",-0.239
1905,"sim.human.mean",-0.05485926
1905,"sim.human.bottom",-0.237482348
1905,"sim.human.top",0.21057492
1905,"sim.natural.mean",-0.035675313
1905,"sim.natural.bottom",-0.192946949
1905,"sim.natural.top",0.153073368
1905,"observed",-0.054
1906,"sim.human.mean",-0.037484903
1906,"sim.human.bottom",-0.223007415
1906,"sim.human.top",0.202143102
1906,"sim.natural.mean",-0.005278524
1906,"sim.natural.bottom",-0.292806179
1906,"sim.natural.top",0.218689827
1906,"observed",0.024
1907,"sim.human.mean",-0.029729248
1907,"sim.human.bottom",-0.247710156
1907,"sim.human.top",0.186313681
1907,"sim.natural.mean",-0.006021667
1907,"sim.natural.bottom",-0.220552557
1907,"sim.natural.top",0.258697567
1907,"observed",-0.134
1908,"sim.human.mean",0.012494731
1908,"sim.human.bottom",-0.160935805
1908,"sim.human.top",0.196713712
1908,"sim.natural.mean",0.006198223
1908,"sim.natural.bottom",-0.23627847
1908,"sim.natural.top",0.281684658
1908,"observed",-0.174
1909,"sim.human.mean",0.030380821
1909,"sim.human.bottom",-0.204111124
1909,"sim.human.top",0.240529835
1909,"sim.natural.mean",0.049745067
1909,"sim.natural.bottom",-0.170162302
1909,"sim.natural.top",0.397341107
1909,"observed",-0.221
1910,"sim.human.mean",0.024647427
1910,"sim.human.bottom",-0.196717357
1910,"sim.human.top",0.267541111
1910,"sim.natural.mean",0.057909626
1910,"sim.natural.bottom",-0.170989475
1910,"sim.natural.top",0.325553447
1910,"observed",-0.191
1911,"sim.human.mean",0.019148144
1911,"sim.human.bottom",-0.219549208
1911,"sim.human.top",0.341310591
1911,"sim.natural.mean",0.076017407
1911,"sim.natural.bottom",-0.147752512
1911,"sim.natural.top",0.333787441
1911,"observed",-0.209
1912,"sim.human.mean",-0.043167275
1912,"sim.human.bottom",-0.271971231
1912,"sim.human.top",0.183078992
1912,"sim.natural.mean",-0.036711458
1912,"sim.natural.bottom",-0.23676755
1912,"sim.natural.top",0.197169393
1912,"observed",-0.136
1913,"sim.human.mean",-0.081489059
